year,homicide_type,day
2019,Stabbing,Wednesday
2019,Other,Monday
2019,Shooting,Monday
2019,Shooting,Thursday
2019,Shooting,Saturday
2019,Other,Saturday
2019,Stabbing,Thursday
2019,Shooting,Monday
2019,Shooting,Tuesday
2019,Shooting,Thursday
2019,Shooting,Saturday
2019,Shooting,Saturday
2019,Shooting,Saturday
2019,Stabbing,Tuesday
2019,Shooting,Wednesday
2019,Other,Wednesday
2019,Other,Wednesday
2019,Shooting,Sunday
2019,Stabbing,Thursday
2019,Other,Friday
2019,Stabbing,Sunday
2019,Other,Sunday
2019,Stabbing,Monday
2019,Shooting,Friday
2019,Shooting,Sunday
2019,Shooting,Tuesday
2020,Shooting,Wednesday
2020,Shooting,Saturday
2020,Stabbing,Monday
